name,mean_bal_acc,std_bal_acc,n_subjects
baseline,0.5279706790123456,0.07630719098517302,9
no_depthwise,0.5324074074074073,0.06921257586910208,9
no_separable,0.43730709876543217,0.04931183425700136,9
no_dropout,0.5181327160493827,0.07075400608581095,9
single_timestep,0.5011574074074074,0.08167311613695104,9
no_leak,0.521412037037037,0.0767169931773989,9
readout_spk_mean,0.5364583333333334,0.03819444444444445,2
