timestamp,trial_number,acc_loso,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
2026-06-13T16:15:02,14,0.555556,False,False,"(1, 3)",8.52978492432517,46.288507622269194,-3.4700964192321937,0.00033877,100,32,4,20,24,2,62,2,15,8,4,0.7430233537871975,0.7601707849345235,38.85839312214989
2026-06-13T16:28:37,16,0.508681,False,False,"(1, 3)",8.168071533218427,91.3796511138348,-3.1922046402526982,0.00064238,100,32,4,20,23,2,57,5,13,8,4,0.5497280974398755,0.7946486949491265,40.90804997077835
2026-06-13T16:40:15,18,0.541667,False,False,"(1, 3)",29.546442138762295,35.45511020174895,-2.4448810380609314,0.0035902,100,32,4,20,10,2,56,3,4,6,8,0.5765794032407057,0.7194777245112566,22.424528836164665
2026-06-13T16:49:12,20,0.555556,False,False,"(1, 3)",5.90844843740253,84.76139351733885,-3.0059480763867046,0.0009864,100,32,4,20,9,2,18,5,14,7,6,0.29833621617084605,0.7072763657007588,49.644668276700074
2026-06-13T17:00:46,26,0.493056,False,False,"(1, 3)",16.068508721187428,96.52558688904092,-2.429738371868234,0.00371759,100,32,4,20,14,2,8,7,16,7,7,0.23393134184778847,0.730299121054184,26.41872478121851
2026-06-13T17:11:53,28,0.564236,False,True,"(1, 2, 3)",10.578075482806858,104.41368687338714,-2.3888518937166685,0.00408459,100,32,4,20,20,1,39,6,15,8,6,0.4947695807895224,0.8252175638458618,29.40830918997958
2026-06-13T17:22:40,29,0.491319,False,True,"(1, 2, 3)",11.13462368855687,106.5222857929289,-2.380130604756664,0.00416744,100,32,4,20,21,1,38,6,21,8,4,0.5227073918044118,0.8879619142126396,14.411606796622635
2026-06-13T17:35:43,33,0.414931,False,True,"(1, 2, 3)",3.148427697038027,109.7755541132853,-2.8498667905227357,0.00141297,100,32,4,20,19,2,15,5,15,7,6,0.4076608758693052,0.8400020667148905,52.96820359817561
2026-06-13T17:46:38,34,0.498264,False,True,"(1, 3)",7.60210164138234,100.22299173628156,-2.1806678987251753,0.00659678,100,32,4,20,14,3,26,5,11,8,7,0.29609320494757074,0.7660262950432082,30.4332357004292
2026-06-13T17:54:41,36,0.552083,False,False,"(1, 2, 3)",3.712181756600838,72.84917592237045,-2.5742180681694213,0.00266552,100,32,4,20,6,1,49,4,11,6,5,0.6805610429323194,0.8075737198403278,5.223042094166175
