subject,order,k_removed,accuracy
4,most_important_first,16,0.2517361111111111
4,most_important_first,17,0.24826388888888887
4,most_important_first,18,0.2517361111111111
4,most_important_first,19,0.2395833333333333
4,most_important_first,20,0.25
4,most_important_first,21,0.21006944444444445
4,most_important_first,22,0.25
4,least_important_first,0,0.4548611111111111
4,least_important_first,1,0.47916666666666663
4,least_important_first,2,0.4652777777777778
4,least_important_first,3,0.4340277777777778
4,least_important_first,4,0.3940972222222222
4,least_important_first,5,0.3784722222222222
4,least_important_first,6,0.3715277777777778
4,least_important_first,7,0.3402777777777778
4,least_important_first,8,0.2934027777777778
4,least_important_first,9,0.3246527777777778
4,least_important_first,10,0.2725694444444444
4,least_important_first,11,0.2569444444444445
4,least_important_first,12,0.2586805555555556
4,least_important_first,13,0.2517361111111111
4,least_important_first,14,0.2552083333333333
4,least_important_first,15,0.2586805555555556
4,least_important_first,16,0.2534722222222222
4,least_important_first,17,0.2951388888888889
4,least_important_first,18,0.2795138888888889
4,least_important_first,19,0.2621527777777778
4,least_important_first,20,0.2482638888888889
4,least_important_first,21,0.24479166666666669
4,least_important_first,22,0.25
5,most_important_first,0,0.5104166666666666
5,most_important_first,1,0.38541666666666663
5,most_important_first,2,0.3802083333333333
5,most_important_first,3,0.3125
5,most_important_first,4,0.3107638888888889
5,most_important_first,5,0.3819444444444444
5,most_important_first,6,0.3611111111111111
5,most_important_first,7,0.3663194444444444
5,most_important_first,8,0.3350694444444444
5,most_important_first,9,0.3680555555555556
5,most_important_first,10,0.3767361111111111
5,most_important_first,11,0.3645833333333333
5,most_important_first,12,0.3559027777777778
5,most_important_first,13,0.34375
5,most_important_first,14,0.3298611111111111
5,most_important_first,15,0.3072916666666667
5,most_important_first,16,0.3350694444444444
5,most_important_first,17,0.3211805555555556
5,most_important_first,18,0.2517361111111111
5,most_important_first,19,0.2777777777777778
5,most_important_first,20,0.25
5,most_important_first,21,0.23958333333333331
5,most_important_first,22,0.25
5,least_important_first,0,0.5104166666666666
5,least_important_first,1,0.5295138888888888
5,least_important_first,2,0.484375
5,least_important_first,3,0.3993055555555556
5,least_important_first,4,0.421875
5,least_important_first,5,0.3645833333333333
5,least_important_first,6,0.3489583333333333
5,least_important_first,7,0.3454861111111111
5,least_important_first,8,0.3263888888888889
5,least_important_first,9,0.2986111111111111
5,least_important_first,10,0.3506944444444445
5,least_important_first,11,0.3506944444444445
5,least_important_first,12,0.3802083333333333
5,least_important_first,13,0.2951388888888889
5,least_important_first,14,0.29340277777777773
5,least_important_first,15,0.3194444444444444
5,least_important_first,16,0.31770833333333337
