subject,bal_acc,f1_macro,n_train,n_test
3,0.6788194444444444,0.6680441819584977,4608,576
8,0.6371527777777778,0.6229908678767031,4608,576
7,0.6128472222222221,0.6116166259557382,4608,576
1,0.546875,0.5404049816677892,4608,576
9,0.5434027777777778,0.533528449969146,4608,576
5,0.4722222222222222,0.4255224958604183,4608,576
4,0.45312500000000006,0.45125595087941167,4608,576
6,0.4513888888888889,0.43203815796720807,4608,576
2,0.43923611111111116,0.42770472523799313,4608,576
