subject,channel,importance
1,Fz,0.01215277777777779
1,FC3,-0.02256944444444442
1,FC1,0.02777777777777779
1,FCz,0.05729166666666663
1,FC2,0.02777777777777779
1,FC4,0.0625
1,C5,0.031250000000000056
1,C3,0.041666666666666685
1,C1,-0.00694444444444442
1,Cz,0.04340277777777779
1,C2,-0.00347222222222221
1,C4,0.03645833333333337
1,C6,0.06770833333333331
1,CP3,0.10937500000000006
1,CP1,-0.02951388888888884
1,CPz,0.02777777777777779
1,CP2,-0.00347222222222221
1,CP4,-0.00868055555555547
1,P1,0.045138888888888895
1,Pz,0.02604166666666663
1,P2,0.01388888888888895
1,POz,0.13541666666666663
2,Fz,0.0920138888888889
2,FC3,0.036458333333333426
2,FC1,-0.01388888888888884
2,FCz,0.01041666666666674
2,FC2,0.013888888888889006
2,FC4,-0.00868055555555547
2,C5,0.026041666666666685
2,C3,0.03819444444444453
2,C1,0.06250000000000011
2,Cz,0.031250000000000056
2,C2,0.039930555555555636
2,C4,0.031250000000000056
2,C6,-0.026041666666666574
2,CP3,0.09548611111111122
2,CP1,0.036458333333333426
2,CPz,0.050347222222222265
2,CP2,0.05381944444444453
2,CP4,0.06250000000000006
2,P1,0.036458333333333426
2,Pz,0.017361111111111216
2,P2,0.07118055555555558
2,POz,0.050347222222222265
3,Fz,0.02256944444444453
3,FC3,0.0017361111111111605
3,FC1,0.04340277777777779
3,FCz,0.03472222222222221
3,FC2,0.03993055555555558
3,FC4,0.06250000000000011
3,C5,0.03472222222222221
3,C3,0.11805555555555558
3,C1,-0.01388888888888884
3,Cz,0.07291666666666663
3,C2,0.01909722222222232
3,C4,0.14236111111111116
3,C6,0.05555555555555558
3,CP3,0.2795138888888889
3,CP1,0.05208333333333337
3,CPz,0.05208333333333337
3,CP2,0.03645833333333337
3,CP4,-0.01041666666666663
3,P1,0.06944444444444442
3,Pz,0.09375
3,P2,0.05555555555555569
3,POz,0.2760416666666667
4,Fz,0.0642361111111111
4,FC3,0.020833333333333315
4,FC1,0.00694444444444442
4,FCz,0.04166666666666663
4,FC2,0.015625
4,FC4,0.026041666666666685
4,C5,-0.024305555555555525
4,C3,0.0642361111111111
4,C1,0.048611111111111105
4,Cz,0.029513888888888895
4,C2,5.551115123125783e-17
4,C4,0.06944444444444442
4,C6,0.04340277777777779
4,CP3,0.08333333333333331
4,CP1,0.008680555555555525
4,CPz,-0.02256944444444442
4,CP2,-0.0034722222222222654
4,CP4,0.07118055555555558
4,P1,0.046875000000000056
4,Pz,-0.00520833333333337
4,P2,0.0642361111111111
4,POz,0.1111111111111111
5,Fz,0.04861111111111105
5,FC3,0.060763888888888895
5,FC1,0.03819444444444442
5,FCz,0.024305555555555525
5,FC2,0.01041666666666663
5,FC4,0.00347222222222221
5,C5,0.02777777777777779
5,C3,-0.01041666666666674
5,C1,0.032986111111111105
5,Cz,0.10763888888888884
5,C2,0.036458333333333315
5,C4,-0.0017361111111111605
5,C6,-0.01909722222222221
5,CP3,0.08680555555555558
5,CP1,0.09895833333333326
5,CPz,0.06076388888888884
5,CP2,0.0
5,CP4,0.059027777777777735
5,P1,0.125
5,Pz,0.00868055555555547
5,P2,0.07638888888888884
5,POz,0.04166666666666663
6,Fz,-0.006944444444444475
6,FC3,0.07118055555555558
6,FC1,0.06597222222222221
6,FCz,0.09375
6,FC2,0.034722222222222265
6,FC4,0.052083333333333315
6,C5,0.09722222222222227
6,C3,0.041666666666666685
6,C1,0.13541666666666669
6,Cz,0.1423611111111111
6,C2,0.024305555555555525
6,C4,0.024305555555555525
6,C6,0.05034722222222221
6,CP3,0.00868055555555558
6,CP1,0.038194444444444475
6,CPz,0.12152777777777773
6,CP2,0.02604166666666663
6,CP4,0.017361111111111105
6,P1,0.013888888888888895
6,Pz,0.09027777777777773
6,P2,0.031250000000000056
6,POz,0.1423611111111111
7,Fz,0.16319444444444448
7,FC3,0.03125000000000011
7,FC1,-0.00694444444444442
7,FCz,0.01909722222222232
7,FC2,0.11111111111111116
7,FC4,0.16319444444444453
7,C5,0.04340277777777779
7,C3,0.03125
7,C1,0.12500000000000006
7,Cz,0.10763888888888895
7,C2,-0.005208333333333259
7,C4,0.06944444444444453
7,C6,-0.0190972222222221
7,CP3,0.16319444444444448
7,CP1,0.13541666666666674
7,CPz,0.07118055555555558
7,CP2,1.1102230246251565e-16
7,CP4,0.11284722222222221
7,P1,0.16666666666666669
7,Pz,0.0625
7,P2,0.13541666666666669
7,POz,0.11631944444444448
8,Fz,0.02430555555555558
8,FC3,0.00520833333333337
8,FC1,0.0017361111111111605
8,FCz,0.07291666666666674
8,FC2,0.11458333333333337
8,FC4,0.11631944444444453
8,C5,0.012152777777777901
8,C3,0.11458333333333337
8,C1,-0.0017361111111110494
8,Cz,0.08333333333333348
8,C2,0.12326388888888895
8,C4,-0.0017361111111109384
8,C6,0.0277777777777779
8,CP3,0.26215277777777785
8,CP1,0.01736111111111116
8,CPz,0.03819444444444453
8,CP2,0.02083333333333348
8,CP4,0.23611111111111122
8,P1,0.17361111111111122
8,Pz,0.03645833333333337
8,P2,0.04861111111111116
8,POz,0.1562500000000001
9,Fz,0.022569444444444475
9,FC3,0.0
9,FC1,-0.00868055555555558
9,FCz,0.048611111111111105
9,FC2,0.031250000000000056
9,FC4,0.08333333333333337
9,C5,-0.01215277777777779
9,C3,0.09895833333333343
9,C1,-0.02256944444444442
9,Cz,-0.04340277777777779
9,C2,0.057291666666666685
9,C4,0.07465277777777779
9,C6,0.01736111111111116
9,CP3,0.22222222222222227
9,CP1,-0.00694444444444442
9,CPz,-0.02951388888888884
9,CP2,-0.015624999999999889
9,CP4,0.16493055555555564
9,P1,0.06770833333333337
9,Pz,0.03125
9,P2,0.05729166666666674
9,POz,0.09027777777777785
